EMAIL___GENERAL___MOS,EM_G
FACEBOOK___GENERAL___MOS,FB_G
HANGOUTS___GENERAL___MOS,HO_G
INSTAGRAM___GENERAL___MOS,IG_G
MESSENGER___GENERAL___MOS,MSN_G
NETFLIX___GENERAL___MOS,NFX_G
RSS___GENERAL___MOS,RSS_G
SKYPE___CHAT_AUDIO_MESSAGE___MOS,SK_AUD
SKYPE___CHAT_IMAGE_MESSAGE___MOS,SK_IMG
SKYPE___CHAT_VIDEO_MESSAGE___MOS,SK_VDO
SKYPE___CHAT___MOS,SK_CHA
SKYPE___GENERAL___MOS,SK_G
SKYPE___VIDEO_CALL___MOS,SK_VDO_CAL
SKYPE___VOICE_CALL___MOS,SK_VOI_CAL
SNAPCHAT___GENERAL___MOS,SC_G
SPOTIFY___GENERAL___MOS,SFY_G
TELEGRAM___GENERAL___MOS,TG_G
TWITTER___GENERAL___MOS,TT_G
VIBER___GENERAL___MOS,VB_G
WEB___GENERAL___MOS,W3_G
WHATSAPP___GENERAL___MOS,WA_G
YOUTUBE___COMMENT___MOS,YU_COM
YOUTUBE___GENERAL___MOS,YU_G
YOUTUBE___SEARCH___MOS,YU_SCH
YOUTUBE___VIDEO_PLAYBACK___P_360___MOS,YU_VP_P360
YOUTUBE___VIDEO_PLAYBACK___P_480___MOS,YU_VP_480
YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,YU_VP_720
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS,YU_VP_AUTO
YOUTUBE___VIDEO_PLAYBACK___S_1440___MOS,YU_VP_S1440
YOUTUBE___VIDEO_PLAYBACK___S_144___MOS,YU_VP_S144
YOUTUBE___VIDEO_PLAYBACK___S_360___MOS,YU_VP_S360
